epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1102.49,1.99533,1.28743,2.25521,0.90989,0.83607,0.93784,0.67404,1.97905,1.01801,2.32803,0.0011882,0.0011882,0.0011882
43,1129.57,1.89653,1.19244,2.20693,0.90446,0.90445,0.94878,0.66055,1.95387,0.95165,2.32593,0.0011684,0.0011684,0.0011684
44,1156.91,1.93246,1.24798,2.22472,0.88635,0.93312,0.95567,0.66764,1.95585,0.92847,2.31691,0.0011486,0.0011486,0.0011486
45,1183.58,1.89901,1.20516,2.21575,0.92287,0.89809,0.95328,0.66971,2.02779,0.97467,2.36303,0.0011288,0.0011288,0.0011288
46,1209.99,1.93759,1.21869,2.22552,0.92894,0.87432,0.95528,0.68086,1.88782,0.90741,2.29972,0.001109,0.001109,0.001109
47,1235.54,1.90779,1.22966,2.1971,0.94825,0.8758,0.95625,0.6862,1.93875,0.93841,2.27902,0.0010892,0.0010892,0.0010892
48,1261.85,1.84731,1.15723,2.1851,0.95037,0.91471,0.96616,0.70807,1.86102,0.85525,2.26885,0.0010694,0.0010694,0.0010694
49,1290.08,1.84757,1.17204,2.16634,0.94631,0.89172,0.95724,0.69908,1.85749,0.89753,2.26361,0.0010496,0.0010496,0.0010496
50,1316.82,1.81107,1.14253,2.16988,0.91945,0.87898,0.96255,0.70569,1.84877,0.89918,2.24027,0.0010298,0.0010298,0.0010298
51,1342.14,1.82877,1.17542,2.17731,0.91464,0.88724,0.96178,0.6932,1.81882,0.90737,2.26573,0.00101,0.00101,0.00101
52,1367.11,1.76461,1.15224,2.12718,0.91537,0.93312,0.96497,0.70168,1.83617,0.87423,2.32088,0.0009902,0.0009902,0.0009902
53,1392.23,1.76747,1.10611,2.16155,0.94712,0.91266,0.96718,0.71919,1.6675,0.8085,2.15926,0.0009704,0.0009704,0.0009704
54,1417.88,1.72908,1.07996,2.13051,0.91048,0.91401,0.96124,0.71007,1.79719,0.86557,2.23413,0.0009506,0.0009506,0.0009506
55,1442.71,1.6808,1.1272,2.1016,0.94057,0.90732,0.96567,0.71891,1.69001,0.87569,2.20104,0.0009308,0.0009308,0.0009308
56,1467.55,1.66875,1.06198,2.09675,0.91998,0.93631,0.96379,0.73409,1.63373,0.82069,2.1675,0.000911,0.000911,0.000911
57,1492.57,1.6376,1.01563,2.09202,0.94095,0.90764,0.96221,0.72955,1.68944,0.79448,2.19363,0.0008912,0.0008912,0.0008912
58,1517.41,1.59933,1.04752,2.06621,0.9276,0.89772,0.95896,0.72791,1.66708,0.80902,2.15432,0.0008714,0.0008714,0.0008714
59,1542.22,1.62146,1.04752,2.07282,0.94429,0.87261,0.96186,0.73268,1.70578,0.86588,2.18705,0.0008516,0.0008516,0.0008516
60,1567.05,1.63987,1.04377,2.09193,0.93359,0.92994,0.97133,0.7371,1.63196,0.78503,2.17673,0.0008318,0.0008318,0.0008318
61,1591.87,1.60304,1.00913,2.0653,0.92201,0.92038,0.97156,0.75514,1.58624,0.76746,2.1436,0.000812,0.000812,0.000812
62,1616.78,1.58463,0.99889,2.04518,0.93067,0.89776,0.96413,0.74795,1.56709,0.75698,2.12081,0.0007922,0.0007922,0.0007922
63,1641.53,1.56309,0.98425,2.07355,0.92631,0.92081,0.97435,0.76724,1.54919,0.7445,2.102,0.0007724,0.0007724,0.0007724
64,1666.36,1.6015,1.00551,2.0623,0.96606,0.90644,0.97532,0.75206,1.58417,0.7432,2.11469,0.0007526,0.0007526,0.0007526
65,1691.04,1.51939,0.9583,2.03092,0.93781,0.93312,0.96707,0.75755,1.49699,0.74772,2.08488,0.0007328,0.0007328,0.0007328
66,1715.96,1.55403,0.97298,2.04216,0.94324,0.90446,0.97219,0.74324,1.55396,0.81792,2.1251,0.000713,0.000713,0.000713
67,1740.54,1.4975,0.94826,2.00878,0.93008,0.91083,0.96302,0.75401,1.5144,0.74976,2.12049,0.0006932,0.0006932,0.0006932
68,1765.46,1.472,0.92654,2.01154,0.9569,0.91928,0.97669,0.76989,1.47187,0.67729,2.0863,0.0006734,0.0006734,0.0006734
69,1790.94,1.49228,0.95409,2.02595,0.95542,0.88726,0.96821,0.75603,1.52018,0.75567,2.11842,0.0006536,0.0006536,0.0006536
70,1817,1.45698,0.90735,2.01279,0.92211,0.90482,0.97017,0.76461,1.48962,0.74457,2.10195,0.0006338,0.0006338,0.0006338
71,1844.8,1.4752,0.94856,2.01318,0.9425,0.90127,0.97257,0.75498,1.49729,0.72549,2.11007,0.000614,0.000614,0.000614
72,1871.89,1.4331,0.89525,1.98509,0.95697,0.9172,0.97669,0.77348,1.49878,0.68316,2.08624,0.0005942,0.0005942,0.0005942
73,1898.56,1.46988,0.88476,2.0005,0.9615,0.90127,0.97372,0.79084,1.42806,0.68676,2.06058,0.0005744,0.0005744,0.0005744
74,1923.96,1.4274,0.90217,1.98997,0.96943,0.90885,0.97792,0.77894,1.43955,0.6701,2.06565,0.0005546,0.0005546,0.0005546
75,1949.11,1.38561,0.86757,1.96959,0.96681,0.9277,0.98117,0.77484,1.44234,0.65594,2.07286,0.0005348,0.0005348,0.0005348
76,1973.92,1.38785,0.85369,1.95779,0.9448,0.92672,0.97615,0.78546,1.42085,0.69218,2.05494,0.000515,0.000515,0.000515
77,1998.55,1.36244,0.8842,1.95555,0.96438,0.90446,0.97514,0.7882,1.38502,0.69002,2.06917,0.0004952,0.0004952,0.0004952
78,2023.45,1.31557,0.85576,1.95455,0.96614,0.90859,0.97485,0.78047,1.40374,0.66828,2.05559,0.0004754,0.0004754,0.0004754
79,2048.12,1.37272,0.87643,1.96001,0.94056,0.94586,0.97461,0.77552,1.42631,0.66256,2.06065,0.0004556,0.0004556,0.0004556
80,2072.94,1.34365,0.83288,1.93436,0.93844,0.92242,0.9774,0.78028,1.38986,0.64876,2.05485,0.0004358,0.0004358,0.0004358
81,2097.65,1.29443,0.7897,1.93318,0.94745,0.95541,0.98267,0.80665,1.34459,0.61668,2.03224,0.000416,0.000416,0.000416
82,2122.55,1.28601,0.85617,1.92449,0.95539,0.9586,0.98192,0.8036,1.33735,0.60445,2.02475,0.0003962,0.0003962,0.0003962
83,2148.46,1.31193,0.80387,1.93191,0.96711,0.9363,0.98177,0.79275,1.31264,0.60057,2.01175,0.0003764,0.0003764,0.0003764
84,2175.23,1.26419,0.79009,1.90622,0.94411,0.93631,0.97882,0.80946,1.31923,0.62093,2.02026,0.0003566,0.0003566,0.0003566
85,2200,1.25836,0.78536,1.91389,0.9603,0.92439,0.98083,0.80667,1.30608,0.61943,2.01702,0.0003368,0.0003368,0.0003368
86,2225.02,1.27601,0.7882,1.92531,0.96861,0.92994,0.98465,0.81539,1.27152,0.58946,1.99689,0.000317,0.000317,0.000317
87,2250.35,1.26335,0.8314,1.92877,0.94196,0.93949,0.97747,0.81379,1.26543,0.62826,1.99606,0.0002972,0.0002972,0.0002972
88,2275.88,1.23442,0.80494,1.90662,0.94053,0.9172,0.97812,0.81146,1.2746,0.65606,2.00284,0.0002774,0.0002774,0.0002774
89,2303.22,1.18881,0.75887,1.89077,0.96349,0.9172,0.97927,0.8193,1.23035,0.61404,1.97881,0.0002576,0.0002576,0.0002576
90,2329.62,1.1895,0.7764,1.90124,0.95719,0.92577,0.97757,0.81393,1.26122,0.61504,2.0063,0.0002378,0.0002378,0.0002378
91,2365.66,0.96874,0.54484,1.75002,0.9395,0.9172,0.97837,0.81867,1.23921,0.59709,2.00161,0.000218,0.000218,0.000218
92,2390.24,0.95831,0.5338,1.75351,0.96608,0.90717,0.97583,0.80703,1.22745,0.60301,1.99189,0.0001982,0.0001982,0.0001982
93,2415.78,0.95059,0.53205,1.73118,0.94218,0.93631,0.97234,0.81951,1.23337,0.60123,1.99308,0.0001784,0.0001784,0.0001784
94,2441.11,0.93801,0.53908,1.74065,0.94174,0.92667,0.97283,0.81592,1.23734,0.61208,1.99396,0.0001586,0.0001586,0.0001586
95,2466.16,0.92273,0.5256,1.74249,0.93557,0.92496,0.97337,0.81943,1.20806,0.59012,1.96806,0.0001388,0.0001388,0.0001388
96,2490.65,0.90326,0.51338,1.72336,0.93124,0.92038,0.97314,0.82248,1.20393,0.59775,1.96983,0.000119,0.000119,0.000119
97,2515.14,0.86182,0.50098,1.69195,0.95014,0.91038,0.97371,0.82609,1.20826,0.60432,1.9739,9.92e-05,9.92e-05,9.92e-05
98,2539.9,0.85963,0.48186,1.70003,0.94133,0.9197,0.97448,0.82643,1.18916,0.60981,1.9649,7.94e-05,7.94e-05,7.94e-05
99,2564.4,0.87631,0.49726,1.71507,0.93238,0.92994,0.97607,0.82801,1.18046,0.6014,1.95634,5.96e-05,5.96e-05,5.96e-05
100,2588.9,0.87435,0.48105,1.72469,0.95589,0.91083,0.97706,0.83069,1.17806,0.59733,1.9618,3.98e-05,3.98e-05,3.98e-05
